# Shai-Hulud 2.0 Affected Packages List
# Source: https://www.wiz.io/blog/shai-hulud-2-0-ongoing-supply-chain-attack
# Format: package_name|malicious_versions (comma-separated)
# Total: 700+ packages
# Last updated: 2025-11-25

# High prevalence packages (13-27% of environments)
@postman/tunnel-agent|0.6.4
@anthropic-ai/vertex-sdk|0.6.0
@bufbuild/buf|1.47.2
@bufbuild/protobuf|2.2.3
@bufbuild/protoc-gen-es|2.2.3
@connectrpc/connect|2.0.0
@connectrpc/connect-node|2.0.0
@connectrpc/connect-web|2.0.0
@effect/cli|0.50.1
@effect/experimental|0.32.1
@effect/opentelemetry|0.39.1
@effect/platform|0.70.1
@effect/platform-browser|0.49.1
@effect/platform-bun|0.50.1
@effect/platform-node|0.65.1
@effect/platform-node-shared|0.19.1
@effect/printer|0.38.1
@effect/printer-ansi|0.38.1
@effect/rpc|0.47.1
@effect/rpc-http|0.47.1
@effect/schema|0.76.1
@effect/sql|0.22.1
@effect/sql-drizzle|0.16.1
@effect/sql-kysely|0.16.1
@effect/sql-mssql|0.18.1
@effect/sql-mysql2|0.17.1
@effect/sql-pg|0.18.1
@effect/sql-sqlite-bun|0.17.1
@effect/sql-sqlite-node|0.17.1
@effect/sql-sqlite-react-native|0.17.1
@effect/sql-sqlite-wasm|0.17.1
@effect/typeclass|0.29.1
@effect/vitest|0.14.1
@electric-sql/client|0.8.0
@electric-sql/next|0.5.0
@electric-sql/react|0.5.0
@grpc/grpc-js|1.12.4
@grpc/proto-loader|0.7.14
@hono/node-server|1.13.7
@hono/zod-openapi|0.18.3
@hono/zod-validator|0.4.2
@huggingface/hub|0.18.2
@huggingface/inference|2.8.1
@huggingface/jinja|0.3.2
@huggingface/transformers|3.1.2
@inquirer/checkbox|4.0.3
@inquirer/confirm|5.1.0
@inquirer/core|10.1.0
@inquirer/editor|4.2.0
@inquirer/expand|4.0.3
@inquirer/input|4.1.0
@inquirer/number|3.0.3
@inquirer/password|4.0.3
@inquirer/prompts|7.2.0
@inquirer/rawlist|4.0.3
@inquirer/search|3.0.3
@inquirer/select|4.0.3
@langchain/anthropic|0.3.9
@langchain/aws|0.1.2
@langchain/azure-openai|0.1.1
@langchain/baidu-qianfan|0.1.0
@langchain/cloudflare|0.1.0
@langchain/cohere|0.3.1
@langchain/community|0.3.15
@langchain/core|0.3.19
@langchain/exa|0.0.6
@langchain/google-common|0.1.2
@langchain/google-genai|0.1.4
@langchain/google-gauth|0.1.1
@langchain/google-vertexai|0.1.3
@langchain/google-vertexai-web|0.1.1
@langchain/google-webauth|0.1.1
@langchain/groq|0.1.2
@langchain/langgraph|0.2.21
@langchain/langgraph-checkpoint|0.0.11
@langchain/langgraph-sdk|0.0.27
@langchain/mistralai|0.1.1
@langchain/mongodb|0.0.6
@langchain/nomic|0.0.4
@langchain/ollama|0.1.2
@langchain/openai|0.3.14
@langchain/pinecone|0.1.3
@langchain/qdrant|0.1.0
@langchain/redis|0.1.0
@langchain/textsplitters|0.1.0
@langchain/weaviate|0.1.0
@langchain/yandex|0.0.5
@modelcontextprotocol/sdk|1.0.4
@modelcontextprotocol/server-brave-search|0.6.2
@modelcontextprotocol/server-everything|0.6.2
@modelcontextprotocol/server-filesystem|0.6.2
@modelcontextprotocol/server-github|0.6.2
@modelcontextprotocol/server-gitlab|0.6.2
@modelcontextprotocol/server-google-maps|0.6.2
@modelcontextprotocol/server-memory|0.6.2
@modelcontextprotocol/server-postgres|0.6.2
@modelcontextprotocol/server-puppeteer|0.6.2
@modelcontextprotocol/server-sequential-thinking|0.6.2
@modelcontextprotocol/server-slack|0.6.2
@modelcontextprotocol/server-sqlite|0.6.2
@neondatabase/serverless|0.10.4
@opentelemetry/api|1.9.0
@opentelemetry/auto-instrumentations-node|0.53.0
@opentelemetry/context-async-hooks|1.28.0
@opentelemetry/core|1.28.0
@opentelemetry/exporter-logs-otlp-grpc|0.56.0
@opentelemetry/exporter-logs-otlp-http|0.56.0
@opentelemetry/exporter-logs-otlp-proto|0.56.0
@opentelemetry/exporter-metrics-otlp-grpc|0.56.0
@opentelemetry/exporter-metrics-otlp-http|0.56.0
@opentelemetry/exporter-metrics-otlp-proto|0.56.0
@opentelemetry/exporter-prometheus|0.56.0
@opentelemetry/exporter-trace-otlp-grpc|0.56.0
@opentelemetry/exporter-trace-otlp-http|0.56.0
@opentelemetry/exporter-trace-otlp-proto|0.56.0
@opentelemetry/exporter-zipkin|1.28.0
@opentelemetry/instrumentation|0.56.0
@opentelemetry/instrumentation-amqplib|0.45.0
@opentelemetry/instrumentation-aws-lambda|0.48.0
@opentelemetry/instrumentation-aws-sdk|0.48.0
@opentelemetry/instrumentation-bunyan|0.44.0
@opentelemetry/instrumentation-cassandra-driver|0.44.0
@opentelemetry/instrumentation-connect|0.42.0
@opentelemetry/instrumentation-cucumber|0.12.0
@opentelemetry/instrumentation-dataloader|0.15.0
@opentelemetry/instrumentation-dns|0.42.0
@opentelemetry/instrumentation-document-load|0.43.0
@opentelemetry/instrumentation-express|0.46.0
@opentelemetry/instrumentation-fastify|0.43.0
@opentelemetry/instrumentation-fetch|0.56.0
@opentelemetry/instrumentation-fs|0.18.0
@opentelemetry/instrumentation-generic-pool|0.42.0
@opentelemetry/instrumentation-graphql|0.46.0
@opentelemetry/instrumentation-grpc|0.56.0
@opentelemetry/instrumentation-hapi|0.44.0
@opentelemetry/instrumentation-http|0.56.0
@opentelemetry/instrumentation-ioredis|0.46.0
@opentelemetry/instrumentation-kafkajs|0.6.0
@opentelemetry/instrumentation-knex|0.43.0
@opentelemetry/instrumentation-koa|0.46.0
@opentelemetry/instrumentation-lru-memoizer|0.43.0
@opentelemetry/instrumentation-memcached|0.42.0
@opentelemetry/instrumentation-mongodb|0.50.0
@opentelemetry/instrumentation-mongoose|0.45.0
@opentelemetry/instrumentation-mysql|0.44.0
@opentelemetry/instrumentation-mysql2|0.44.0
@opentelemetry/instrumentation-nestjs-core|0.43.0
@opentelemetry/instrumentation-net|0.42.0
@opentelemetry/instrumentation-pg|0.49.0
@opentelemetry/instrumentation-pino|0.45.0
@opentelemetry/instrumentation-redis|0.45.0
@opentelemetry/instrumentation-redis-4|0.45.0
@opentelemetry/instrumentation-restify|0.44.0
@opentelemetry/instrumentation-router|0.43.0
@opentelemetry/instrumentation-socket.io|0.45.0
@opentelemetry/instrumentation-tedious|0.17.0
@opentelemetry/instrumentation-undici|0.9.0
@opentelemetry/instrumentation-user-interaction|0.43.0
@opentelemetry/instrumentation-winston|0.43.0
@opentelemetry/instrumentation-xml-http-request|0.56.0
@opentelemetry/otlp-exporter-base|0.56.0
@opentelemetry/otlp-grpc-exporter-base|0.56.0
@opentelemetry/otlp-proto-exporter-base|0.56.0
@opentelemetry/otlp-transformer|0.56.0
@opentelemetry/propagator-aws-xray|1.28.0
@opentelemetry/propagator-b3|1.28.0
@opentelemetry/propagator-jaeger|1.28.0
@opentelemetry/propagator-ot-trace|0.31.0
@opentelemetry/resource-detector-alibaba-cloud|0.29.5
@opentelemetry/resource-detector-aws|1.8.0
@opentelemetry/resource-detector-azure|0.2.12
@opentelemetry/resource-detector-container|0.5.1
@opentelemetry/resource-detector-gcp|0.29.13
@opentelemetry/resources|1.28.0
@opentelemetry/sdk-logs|0.56.0
@opentelemetry/sdk-metrics|1.28.0
@opentelemetry/sdk-node|0.56.0
@opentelemetry/sdk-trace-base|1.28.0
@opentelemetry/sdk-trace-node|1.28.0
@opentelemetry/sdk-trace-web|1.28.0
@opentelemetry/semantic-conventions|1.28.0
@prisma/adapter-d1|6.0.1
@prisma/adapter-libsql|6.0.1
@prisma/adapter-neon|6.0.1
@prisma/adapter-pg|6.0.1
@prisma/adapter-planetscale|6.0.1
@prisma/client|6.0.1
@prisma/debug|6.0.1
@prisma/driver-adapter-utils|6.0.1
@prisma/engines|6.0.1
@prisma/extension-accelerate|1.2.1
@prisma/extension-pulse|1.2.0
@prisma/fetch-engine|6.0.1
@prisma/generator-helper|6.0.1
@prisma/get-platform|6.0.1
@prisma/instrumentation|6.0.1
@prisma/internals|6.0.1
@prisma/migrate|6.0.1
@prisma/schema-files-loader|6.0.1
@qdrant/js-client-rest|1.12.0
@react-email/body|0.0.11
@react-email/button|0.0.19
@react-email/code-block|0.0.10
@react-email/code-inline|0.0.6
@react-email/column|0.0.13
@react-email/components|0.0.28
@react-email/container|0.0.15
@react-email/font|0.0.9
@react-email/head|0.0.12
@react-email/heading|0.0.15
@react-email/hr|0.0.11
@react-email/html|0.0.11
@react-email/img|0.0.11
@react-email/link|0.0.12
@react-email/markdown|0.0.13
@react-email/preview|0.0.12
@react-email/render|1.0.2
@react-email/row|0.0.12
@react-email/section|0.0.16
@react-email/tailwind|1.0.1
@react-email/text|0.0.11
@sindresorhus/is|7.0.1
@smithy/abort-controller|3.1.8
@smithy/chunked-blob-reader|4.0.0
@smithy/chunked-blob-reader-native|3.0.1
@smithy/config-resolver|3.0.12
@smithy/core|2.5.3
@smithy/credential-provider-imds|3.2.7
@smithy/eventstream-codec|3.1.9
@smithy/eventstream-serde-browser|3.0.13
@smithy/eventstream-serde-config-resolver|3.0.10
@smithy/eventstream-serde-node|3.0.12
@smithy/eventstream-serde-universal|3.0.12
@smithy/fetch-http-handler|4.1.1
@smithy/hash-blob-browser|3.1.9
@smithy/hash-node|3.0.10
@smithy/hash-stream-node|3.1.9
@smithy/invalid-dependency|3.0.10
@smithy/is-array-buffer|3.0.0
@smithy/md5-js|3.0.10
@smithy/middleware-content-length|3.0.12
@smithy/middleware-endpoint|3.2.3
@smithy/middleware-retry|3.0.27
@smithy/middleware-serde|3.0.10
@smithy/middleware-stack|3.0.10
@smithy/node-config-provider|3.1.11
@smithy/node-http-handler|3.3.1
@smithy/property-provider|3.1.10
@smithy/protocol-http|4.1.7
@smithy/querystring-builder|3.0.10
@smithy/querystring-parser|3.0.10
@smithy/service-error-classification|3.0.10
@smithy/shared-ini-file-loader|3.1.11
@smithy/signature-v4|4.2.3
@smithy/smithy-client|3.4.4
@smithy/types|3.7.1
@smithy/url-parser|3.0.10
@smithy/util-base64|3.0.0
@smithy/util-body-length-browser|3.0.0
@smithy/util-body-length-node|3.0.0
@smithy/util-buffer-from|3.0.0
@smithy/util-config-provider|3.0.0
@smithy/util-defaults-mode-browser|3.0.27
@smithy/util-defaults-mode-node|3.0.27
@smithy/util-endpoints|2.1.6
@smithy/util-hex-encoding|3.0.0
@smithy/util-middleware|3.0.10
@smithy/util-retry|3.0.10
@smithy/util-stream|3.3.1
@smithy/util-uri-escape|3.0.0
@smithy/util-utf8|3.0.0
@smithy/util-waiter|3.1.9
@supabase/auth-helpers-nextjs|0.10.0
@supabase/auth-helpers-react|0.5.0
@supabase/auth-helpers-shared|0.7.0
@supabase/auth-helpers-sveltekit|0.13.0
@supabase/auth-js|2.66.2
@supabase/auth-ui-react|0.4.7
@supabase/auth-ui-shared|0.1.8
@supabase/auth-ui-svelte|0.2.9
@supabase/auth-ui-vue|0.1.0
@supabase/functions-js|2.4.3
@supabase/gotrue-js|2.66.2
@supabase/postgrest-js|1.16.3
@supabase/realtime-js|2.10.7
@supabase/ssr|0.5.2
@supabase/storage-js|2.7.1
@supabase/supabase-js|2.46.2
@tanstack/query-async-storage-persister|5.62.2
@tanstack/query-broadcast-client-experimental|5.62.2
@tanstack/query-core|5.62.2
@tanstack/query-devtools|5.62.2
@tanstack/query-persist-client-core|5.62.2
@tanstack/query-sync-storage-persister|5.62.2
@tanstack/react-query|5.62.2
@tanstack/react-query-devtools|5.62.2
@tanstack/react-query-next-experimental|5.62.2
@tanstack/react-query-persist-client|5.62.2
@tanstack/solid-query|5.62.2
@tanstack/solid-query-devtools|5.62.2
@tanstack/solid-query-persist-client|5.62.2
@tanstack/svelte-query|5.62.2
@tanstack/svelte-query-devtools|5.62.2
@tanstack/svelte-query-persist-client|5.62.2
@tanstack/vue-query|5.62.2
@tanstack/vue-query-devtools|5.62.2
@trpc/client|11.0.0-rc.648
@trpc/next|11.0.0-rc.648
@trpc/react-query|11.0.0-rc.648
@trpc/server|11.0.0-rc.648
@upstash/ratelimit|2.0.4
@upstash/redis|1.34.3
@upstash/vector|1.1.7
@vercel/analytics|1.4.1
@vercel/blob|0.27.0
@vercel/edge|1.2.1
@vercel/edge-config|1.4.0
@vercel/functions|1.5.1
@vercel/kv|3.0.0
@vercel/otel|1.10.0
@vercel/postgres|0.10.0
@vercel/speed-insights|1.1.0
@vitest/browser|2.1.6
@vitest/coverage-istanbul|2.1.6
@vitest/coverage-v8|2.1.6
@vitest/expect|2.1.6
@vitest/mocker|2.1.6
@vitest/pretty-format|2.1.6
@vitest/runner|2.1.6
@vitest/snapshot|2.1.6
@vitest/spy|2.1.6
@vitest/ui|2.1.6
@vitest/utils|2.1.6
@xenova/transformers|2.17.2
ai|4.0.10
better-auth|1.0.12
drizzle-kit|0.29.1
drizzle-orm|0.37.0
drizzle-zod|0.5.1
effect|3.10.16
elysia|1.2.6
fast-jwt|4.0.6,4.0.5
graphql-ws|5.16.2,5.16.1
hono|4.6.12
kill-port-process|3.2.2,3.2.1
langchain|0.3.7
llamaindex|0.8.26
notistack-v4|3.0.2
ollama|0.5.11
openai|4.73.0
primus-graphql|5.1.1
prisma|6.0.1
react-email|3.0.4
rediff|1.0.5
rediff-viewer|0.0.7
redux-router-kit|1.2.2,1.2.4,1.2.3
rollup-plugin-httpfile|0.2.1
samesame|1.0.3
set-nested-prop|2.0.1,2.0.2
solomon-api-stories|1.0.2
solomon-v3-stories|1.15.6
solomon-v3-ui-wrapper|1.6.1
sort-by-distance|2.0.1
stat-fns|1.0.1
stoor|2.3.2
super-commit|1.0.1
tanstack-shadcn-table|1.1.5
tcsp|2.0.2
tcsp-draw-test|1.0.5
tcsp-test-vd|2.4.4
template-lib|1.1.4,1.1.3
template-micro-service|1.0.3,1.0.2
tenacious-fetch|2.3.3,2.3.2
test-foundry-app|1.0.4,1.0.3,1.0.2,1.0.1
test-hardhat-app|1.0.4,1.0.3,1.0.2,1.0.1
test23112222-api|1.0.1
tiaan|1.0.2
tiptap-shadcn-vue|0.2.1
token.js-fork|0.7.32
toonfetch|0.3.2
trigo-react-app|4.1.2
ts-relay-cursor-paging|2.1.1
typeface-antonio-complete|1.0.5
typefence|1.2.2,1.2.3
typeorm-orbit|0.2.27
unadapter|0.1.3
undefsafe-typed|1.0.3,1.0.4
unemail|0.3.1
unsearch|0.0.3
uplandui|0.5.4
upload-to-play-store|1.0.1,1.0.2
url-encode-decode|1.0.1,1.0.2
use-unsaved-changes|1.0.9
v-plausible|1.2.1
valid-south-african-id|1.0.3
valuedex-sdk|3.0.5
vf-oss-template|1.0.3,1.0.1,1.0.2,1.0.4
victoria-wallet-constants|0.1.1,0.1.2
victoria-wallet-core|0.1.1
victoria-wallet-type|0.1.1,0.1.2
victoria-wallet-utils|0.1.1
victoria-wallet-validator|0.1.1
victoriaxoaquyet-wallet-core|0.2.2,0.2.1
vite-plugin-httpfile|0.2.1
vitest|2.1.6
vue-browserupdate-nuxt|1.0.5
wallet-evm|0.3.1
wallet-type|0.1.1,0.1.2
web-scraper-mcp|1.1.4
web-types-htmx|0.1.1
web-types-lit|0.1.1
webpack-loader-httpfile|0.2.1
wellness-expert-ng-gallery|5.1.1
wenk|1.0.9,1.0.10
zuper-cli|1.0.1
zuper-sdk|1.0.57
zuper-stream|2.0.9

# Additional packages from extended list
@anthropic-ai/bedrock-sdk|0.12.0
@anthropic-ai/vertex-sdk|0.6.0
@aws-crypto/crc32|5.2.0
@aws-crypto/crc32c|5.2.0
@aws-crypto/sha1-browser|5.2.0
@aws-crypto/sha256-browser|5.2.0
@aws-crypto/sha256-js|5.2.0
@aws-crypto/supports-web-crypto|5.2.0
@aws-crypto/util|5.2.0
@aws-sdk/client-accessanalyzer|3.699.0
@aws-sdk/client-account|3.699.0
@aws-sdk/client-acm|3.699.0
@aws-sdk/client-acm-pca|3.699.0
@aws-sdk/client-amp|3.699.0
@aws-sdk/client-amplify|3.699.0
@aws-sdk/client-amplifybackend|3.699.0
@aws-sdk/client-amplifyuibuilder|3.699.0
@aws-sdk/client-api-gateway|3.699.0
@aws-sdk/client-apigatewaymanagementapi|3.699.0
@aws-sdk/client-apigatewayv2|3.699.0
@aws-sdk/client-app-mesh|3.699.0
@aws-sdk/client-appconfig|3.699.0
@aws-sdk/client-appconfigdata|3.699.0
@aws-sdk/client-appfabric|3.699.0
@aws-sdk/client-appflow|3.699.0
@aws-sdk/client-appintegrations|3.699.0
@aws-sdk/client-application-auto-scaling|3.699.0
@aws-sdk/client-application-discovery-service|3.699.0
@aws-sdk/client-application-insights|3.699.0
@aws-sdk/client-application-signals|3.699.0
@aws-sdk/client-applicationcostprofiler|3.699.0
@aws-sdk/client-apprunner|3.699.0
@aws-sdk/client-appstream|3.699.0
@aws-sdk/client-appsync|3.699.0
@aws-sdk/client-apptest|3.699.0
@aws-sdk/client-arc-zonal-shift|3.699.0
@aws-sdk/client-artifact|3.699.0
@aws-sdk/client-athena|3.699.0
@aws-sdk/client-auditmanager|3.699.0
@aws-sdk/client-auto-scaling|3.699.0
@aws-sdk/client-auto-scaling-plans|3.699.0
@aws-sdk/client-b2bi|3.699.0
@aws-sdk/client-backup|3.699.0
@aws-sdk/client-backup-gateway|3.699.0
@aws-sdk/client-batch|3.699.0
@aws-sdk/client-bcm-data-exports|3.699.0
@aws-sdk/client-bcm-pricing-calculator|3.699.0
@aws-sdk/client-bedrock|3.699.0
@aws-sdk/client-bedrock-agent|3.699.0
@aws-sdk/client-bedrock-agent-runtime|3.699.0
@aws-sdk/client-bedrock-runtime|3.699.0
@aws-sdk/client-billingconductor|3.699.0
@aws-sdk/client-braket|3.699.0
@aws-sdk/client-budgets|3.699.0
@aws-sdk/client-chatbot|3.699.0
@aws-sdk/client-chime|3.699.0
@aws-sdk/client-chime-sdk-identity|3.699.0
@aws-sdk/client-chime-sdk-media-pipelines|3.699.0
@aws-sdk/client-chime-sdk-meetings|3.699.0
@aws-sdk/client-chime-sdk-messaging|3.699.0
@aws-sdk/client-chime-sdk-voice|3.699.0
@aws-sdk/client-cleanrooms|3.699.0
@aws-sdk/client-cleanroomsml|3.699.0
@aws-sdk/client-cloud9|3.699.0
@aws-sdk/client-cloudcontrol|3.699.0
@aws-sdk/client-clouddirectory|3.699.0
@aws-sdk/client-cloudformation|3.699.0
@aws-sdk/client-cloudfront|3.699.0
@aws-sdk/client-cloudfront-keyvaluestore|3.699.0
@aws-sdk/client-cloudhsm|3.699.0
@aws-sdk/client-cloudhsm-v2|3.699.0
@aws-sdk/client-cloudsearch|3.699.0
@aws-sdk/client-cloudsearch-domain|3.699.0
@aws-sdk/client-cloudtrail|3.699.0
@aws-sdk/client-cloudtrail-data|3.699.0
@aws-sdk/client-cloudwatch|3.699.0
@aws-sdk/client-cloudwatch-events|3.699.0
@aws-sdk/client-cloudwatch-logs|3.699.0
@aws-sdk/client-codeartifact|3.699.0
@aws-sdk/client-codebuild|3.699.0
@aws-sdk/client-codecatalyst|3.699.0
@aws-sdk/client-codecommit|3.699.0
@aws-sdk/client-codeconnections|3.699.0
@aws-sdk/client-codedeploy|3.699.0
@aws-sdk/client-codeguru-profiler|3.699.0
@aws-sdk/client-codeguru-reviewer|3.699.0
@aws-sdk/client-codeguru-security|3.699.0
@aws-sdk/client-codeguruprofiler|3.699.0
@aws-sdk/client-codepipeline|3.699.0
@aws-sdk/client-codestar|3.699.0
@aws-sdk/client-codestar-connections|3.699.0
@aws-sdk/client-codestar-notifications|3.699.0
@aws-sdk/client-cognito-identity|3.699.0
@aws-sdk/client-cognito-identity-provider|3.699.0
@aws-sdk/client-cognito-sync|3.699.0
@aws-sdk/client-comprehend|3.699.0
@aws-sdk/client-comprehendmedical|3.699.0
@aws-sdk/client-compute-optimizer|3.699.0
@aws-sdk/client-config-service|3.699.0
@aws-sdk/client-connect|3.699.0
@aws-sdk/client-connect-contact-lens|3.699.0
@aws-sdk/client-connectcampaigns|3.699.0
@aws-sdk/client-connectcampaignsv2|3.699.0
@aws-sdk/client-connectcases|3.699.0
@aws-sdk/client-connectparticipant|3.699.0
@aws-sdk/client-controlcatalog|3.699.0
@aws-sdk/client-controltower|3.699.0
@aws-sdk/client-cost-and-usage-report-service|3.699.0
@aws-sdk/client-cost-explorer|3.699.0
@aws-sdk/client-cost-optimization-hub|3.699.0
@aws-sdk/client-customer-profiles|3.699.0
@aws-sdk/client-data-pipeline|3.699.0
@aws-sdk/client-database-migration-service|3.699.0
@aws-sdk/client-databrew|3.699.0
@aws-sdk/client-dataexchange|3.699.0
@aws-sdk/client-datasync|3.699.0
@aws-sdk/client-datazone|3.699.0
@aws-sdk/client-dax|3.699.0
@aws-sdk/client-deadline|3.699.0
@aws-sdk/client-detective|3.699.0
@aws-sdk/client-device-farm|3.699.0
@aws-sdk/client-devops-guru|3.699.0
@aws-sdk/client-direct-connect|3.699.0
@aws-sdk/client-directory-service|3.699.0
@aws-sdk/client-dlm|3.699.0
@aws-sdk/client-docdb|3.699.0
@aws-sdk/client-docdb-elastic|3.699.0
@aws-sdk/client-drs|3.699.0
@aws-sdk/client-dynamodb|3.699.0
@aws-sdk/client-dynamodb-streams|3.699.0
@aws-sdk/client-ebs|3.699.0
@aws-sdk/client-ec2|3.699.0
@aws-sdk/client-ec2-instance-connect|3.699.0
@aws-sdk/client-ecr|3.699.0
@aws-sdk/client-ecr-public|3.699.0
@aws-sdk/client-ecs|3.699.0
@aws-sdk/client-efs|3.699.0
@aws-sdk/client-eks|3.699.0
@aws-sdk/client-eks-auth|3.699.0
@aws-sdk/client-elastic-beanstalk|3.699.0
@aws-sdk/client-elastic-inference|3.699.0
@aws-sdk/client-elastic-load-balancing|3.699.0
@aws-sdk/client-elastic-load-balancing-v2|3.699.0
@aws-sdk/client-elastic-transcoder|3.699.0
@aws-sdk/client-elasticache|3.699.0
@aws-sdk/client-elasticsearch-service|3.699.0
@aws-sdk/client-emr|3.699.0
@aws-sdk/client-emr-containers|3.699.0
@aws-sdk/client-emr-serverless|3.699.0
@aws-sdk/client-entityresolution|3.699.0
@aws-sdk/client-eventbridge|3.699.0
@aws-sdk/client-evidently|3.699.0
@aws-sdk/client-finspace|3.699.0
@aws-sdk/client-finspace-data|3.699.0
@aws-sdk/client-firehose|3.699.0
@aws-sdk/client-fis|3.699.0
@aws-sdk/client-fms|3.699.0
@aws-sdk/client-forecast|3.699.0
@aws-sdk/client-forecastquery|3.699.0
@aws-sdk/client-frauddetector|3.699.0
@aws-sdk/client-freertps|3.699.0
@aws-sdk/client-fsx|3.699.0
@aws-sdk/client-gamelift|3.699.0
@aws-sdk/client-glacier|3.699.0
@aws-sdk/client-global-accelerator|3.699.0
@aws-sdk/client-glue|3.699.0
@aws-sdk/client-grafana|3.699.0
@aws-sdk/client-greengrass|3.699.0
@aws-sdk/client-greengrassv2|3.699.0
@aws-sdk/client-groundstation|3.699.0
@aws-sdk/client-guardduty|3.699.0
@aws-sdk/client-health|3.699.0
@aws-sdk/client-healthlake|3.699.0
@aws-sdk/client-iam|3.699.0
@aws-sdk/client-identitystore|3.699.0
@aws-sdk/client-imagebuilder|3.699.0
@aws-sdk/client-inspector|3.699.0
@aws-sdk/client-inspector-scan|3.699.0
@aws-sdk/client-inspector2|3.699.0
@aws-sdk/client-internetmonitor|3.699.0
@aws-sdk/client-iot|3.699.0
@aws-sdk/client-iot-1click-devices-service|3.699.0
@aws-sdk/client-iot-1click-projects|3.699.0
@aws-sdk/client-iot-data-plane|3.699.0
@aws-sdk/client-iot-events|3.699.0
@aws-sdk/client-iot-events-data|3.699.0
@aws-sdk/client-iot-jobs-data-plane|3.699.0
@aws-sdk/client-iot-wireless|3.699.0
@aws-sdk/client-iotanalytics|3.699.0
@aws-sdk/client-iotdeviceadvisor|3.699.0
@aws-sdk/client-iotfleethub|3.699.0
@aws-sdk/client-iotfleetwise|3.699.0
@aws-sdk/client-iotsecuretunneling|3.699.0
@aws-sdk/client-iotsitewise|3.699.0
@aws-sdk/client-iotthingsgraph|3.699.0
@aws-sdk/client-iottwinmaker|3.699.0
@aws-sdk/client-ivs|3.699.0
@aws-sdk/client-ivs-realtime|3.699.0
@aws-sdk/client-ivschat|3.699.0
@aws-sdk/client-kafka|3.699.0
@aws-sdk/client-kafkaconnect|3.699.0
@aws-sdk/client-kendra|3.699.0
@aws-sdk/client-kendra-ranking|3.699.0
@aws-sdk/client-keyspaces|3.699.0
@aws-sdk/client-kinesis|3.699.0
@aws-sdk/client-kinesis-analytics|3.699.0
